지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
279,2022-01-02 12:00,2.8,,0.1,0,44,3.3,-8.2,1019.9,1026.1,0.3,,,,7,7,,10,2000,,,5.4,,,,
279,2022-01-02 13:00,5.6,,2.7,290,55,5,-2.7,1019.2,1025.3,0.5,,,,8,7,,11,1018,,,5.3,,,,
279,2022-01-02 14:00,6.4,,3.4,290,44,4.2,-4.9,1018.6,1024.7,1,,,,0,0,,,1111,,,8.2,,,,
279,2022-01-02 15:00,6.7,,2.3,290,39,3.8,-6.3,1018.3,1024.4,1,,,,0,0,,,1186,,,7.3,,,,
279,2022-01-02 16:00,6.4,,1.4,290,34,3.3,-8.3,1018.4,1024.5,1,,,,0,0,,,1143,,,4.4,,,,
279,2022-01-02 17:00,5,,1.3,290,35,3,-9.2,1018.8,1024.9,0.2,,,,0,0,,,1108,,,-0.2,,,,
279,2022-01-02 18:00,3.3,,0.8,340,39,3,-9.3,1019.4,1025.6,0,,,,0,0,,,1094,,,-1.9,,,,
279,2022-01-02 19:00,1,,0.9,340,46,3,-9.3,1019.8,1026,,,,,0,0,,,968,,,-2.7,,,,
279,2022-01-02 20:00,-0.2,,0,0,54,3.2,-8.4,1020.2,1026.5,,,,,0,0,,,858,,,-3.2,,,,
279,2022-01-02 21:00,-1.2,,0.7,270,60,3.4,-7.9,1020.7,1027,,,,,0,0,,,809,,,-3.5,,,,
279,2022-01-02 22:00,-2.5,,0,0,65,3.3,-8.1,1021.3,1027.6,,,,,0,0,,,757,,,-4.2,,,,
279,2022-01-02 23:00,-3.5,,0,0,67,3.2,-8.7,1021.1,1027.5,,,,,0,0,,,736,,,-4.7,,,,
279,2022-01-03 0:00,-3.2,,0,0,67,3.2,-8.4,1021,1027.4,,,,,0,0,,,982,,,-5,,,,
279,2022-01-03 1:00,-4.3,,0,0,68,3,-9.3,1020.9,1027.3,,,,,1,0,,,1053,,,-5.5,,,,
279,2022-01-03 2:00,-4.8,,0,0,70,3,-9.4,1020.6,1027,,,,,0,0,,,1378,,,-5.9,,,,
279,2022-01-03 3:00,-5.2,,0,0,68,2.8,-10.1,1020.9,1027.3,,,,,0,0,,,1420,,,-6.2,,,,
279,2022-01-03 4:00,-5.3,,0.1,0,70,2.9,-9.9,1020.4,1026.8,,,,,0,0,,,1347,,,-6.5,,,,
279,2022-01-03 5:00,-5.2,,0.3,0,71,3,-9.6,1020.4,1026.8,,,,,4,0,,,1508,,,-6.7,,,,
279,2022-01-03 6:00,-6.2,,0,0,74,2.9,-10,1020.9,1027.3,,,,,2,0,,,927,,,-7.1,,,,
279,2022-01-03 7:00,-6.7,,0.1,0,77,2.9,-10,1021.2,1027.6,,,,,0,0,,,1126,,,-7.4,,,,
279,2022-01-03 8:00,-7.1,,0,0,79,2.8,-10.1,1021.4,1027.8,0,,,,0,0,,,825,,,-7.4,,,,
279,2022-01-03 9:00,-4.7,,0,0,71,3.1,-9.1,1021.5,1027.9,0,,,,0,0,,,1470,,,-6.2,,,,
279,2022-01-03 10:00,-1.9,,0.2,0,55,2.9,-9.7,1021.2,1027.5,0.9,,,,1,0,,,1773,,,-1.9,,,,
279,2022-01-03 11:00,1.8,,0.4,0,41,2.9,-10,1020.8,1027,1,,,,0,0,,,1933,,,3.3,,,,
279,2022-01-03 12:00,3.6,,1.3,290,21,1.7,-16.7,1019.8,1026,1,,,,0,0,,,2000,,,6.4,,,,
279,2022-01-03 13:00,4.7,,2.2,290,17,1.5,-18.3,1018.9,1025,1,,,,0,0,,,2000,,,7.8,,,,
279,2022-01-03 14:00,4.4,,3,320,20,1.7,-16.6,1018.3,1024.4,1,,,,1,0,,,2000,,,8.3,,,,
279,2022-01-03 15:00,4.3,,2.3,270,24,2,-14.5,1018.1,1024.2,1,,,,0,0,,,2000,,,7,,,,
279,2022-01-03 16:00,4,,1.3,290,30,2.4,-12,1018.2,1024.4,1,,,,2,0,,,2000,,,3.9,,,,
279,2022-01-03 17:00,3,,1.7,290,35,2.6,-11,1018.2,1024.4,0.3,,,,0,0,,,2000,,,-0.6,,,,
279,2022-01-03 18:00,1.8,,0.9,290,40,2.8,-10.3,1018.6,1024.8,0,,,,0,0,,,2000,,,-1.8,,,,
279,2022-01-03 19:00,0.6,,1.1,290,46,2.9,-9.7,1019.1,1025.3,,,,,0,0,,,1992,,,-2.4,,,,
279,2022-01-03 20:00,-0.4,,1.4,270,52,3.1,-9,1019.3,1025.6,,,,,0,0,,,2000,,,-2.5,,,,
279,2022-01-03 21:00,-1.7,,0.8,290,58,3.1,-8.8,1019.2,1025.5,,,,,0,0,,,2000,,,-3.1,,,,
279,2022-01-03 22:00,-2.7,,0,0,62,3.1,-8.9,1019.1,1025.4,,,,,0,0,,,2000,,,-3.6,,,,
279,2022-01-03 23:00,-2.3,,0,0,67,3.5,-7.6,1018.9,1025.2,,,,,4,4,,18,2000,,,-2.9,,,,
279,2022-01-04 0:00,-1.3,,0.1,0,64,3.6,-7.2,1018.5,1024.8,,,,,8,8,,,2000,,,-1.4,,,,
279,2022-01-04 1:00,-0.7,,0,0,61,3.5,-7.3,1018.4,1024.7,,,,,6,6,,13,2000,,,-1.1,,,,
279,2022-01-04 2:00,-0.8,,0,0,64,3.7,-6.7,1018.6,1024.9,,,,,0,0,,,1994,,,-2,,,,
279,2022-01-04 3:00,-1.9,,0.2,0,69,3.7,-6.8,1018.9,1025.2,,,,,0,0,,,1995,,,-2.8,,,,
279,2022-01-04 4:00,-1.1,,0,0,67,3.8,-6.4,1018.6,1024.9,,,,,,9,,18,1930,,,-1.7,,,,
279,2022-01-04 5:00,-0.3,,0.2,0,63,3.8,-6.5,1018.6,1024.9,,,,,,9,,11,1813,,,-1.3,,,,
279,2022-01-04 6:00,0.3,,0.1,0,64,4,-5.7,1019.5,1025.8,,,,,,9,,8,1748,,,-0.7,,,,
279,2022-01-04 7:00,2.3,,1.9,290,58,4.2,-5.1,1020.3,1026.5,,,,,,8,,11,1503,,,-1.4,,,,
279,2022-01-04 8:00,1.9,,2,290,43,3,-9.3,1021.1,1027.3,0,,,,,4,,17,2000,,,-2.2,,,,
279,2022-01-04 9:00,2.3,,1.7,290,42,3,-9.3,1021.2,1027.4,0,,,,,0,,,2000,,,-2,,,,
279,2022-01-04 10:00,3.5,,0.9,270,34,2.7,-10.9,1021.7,1027.9,0.9,,,,,0,,,2000,,,0.9,,,,
279,2022-01-04 11:00,4.1,,1.3,270,26,2.1,-13.7,1021.3,1027.5,1,,,,,0,,,2000,,,5.1,,,,
279,2022-01-04 12:00,5.4,,1.3,290,21,1.9,-15.2,1020.5,1026.6,1,,,,0,0,,,2000,,,7.9,,,,
279,2022-01-04 13:00,6.2,,2.2,270,19,1.8,-15.7,1019.5,1025.6,1,,,,0,0,,,2000,,,10,,,,
279,2022-01-04 14:00,6.6,,0.9,320,15,1.5,-18.2,1019.1,1025.2,1,,,,0,0,,,2000,,,11.3,,,,
279,2022-01-04 15:00,6.4,,1.1,270,15,1.4,-18.4,1019.5,1025.6,1,,,,0,0,,,2000,,,10,,,,
279,2022-01-04 16:00,5.5,,1.4,270,15,1.4,-19.1,1019.7,1025.8,1,,,,0,0,,,2000,,,6.3,,,,
279,2022-01-04 17:00,4.1,,1.3,290,18,1.5,-18.1,1020.2,1026.4,0.3,,,,0,0,,,2000,,,0.5,,,,
279,2022-01-04 18:00,3.3,,1.7,290,17,1.3,-19.4,1020.7,1026.9,0,,,,0,0,,,2000,,,-1.6,,,,
279,2022-01-04 19:00,1.1,,2.1,270,24,1.6,-17.2,1021,1027.2,,,,,0,0,,,2000,,,-1.9,,,,
279,2022-01-04 20:00,-0.1,,2.3,270,26,1.6,-17.3,1021,1027.3,,,,,0,0,,,2000,,,-2.4,,,,
279,2022-01-04 21:00,-0.7,,1.1,250,28,1.6,-16.9,1021.7,1028,,,,,0,0,,,2000,,,-2.9,,,,
279,2022-01-04 22:00,-2.4,,0.5,290,37,1.9,-15.1,1021.9,1028.2,,,,,0,0,,,2000,,,-3.8,,,,
279,2022-01-04 23:00,-2.9,,0,0,39,1.9,-14.9,1022,1028.3,,,,,8,4,,58,2000,,,-4.3,,,,
279,2022-01-05 0:00,-3.8,,0.5,290,44,2,-14.2,1022.4,1028.8,,,,,0,0,,,2000,,,-4.8,,,,
279,2022-01-05 1:00,-4.3,,0.2,0,47,2.1,-13.9,1022.5,1028.9,,,,,10,6,,56,2000,,,-4.9,,,,
279,2022-01-05 2:00,-4.4,,0.6,270,45,2,-14.5,1022.7,1029.1,,,,,9,8,,54,2000,,,-4.9,,,,
279,2022-01-05 3:00,-4.5,,0.7,270,46,2,-14.3,1022.9,1029.3,,,,,9,7,,54,2000,,,-4.8,,,,
279,2022-01-05 4:00,-5.5,,0.4,0,55,2.2,-13.1,1022.5,1028.9,,,,,10,2,,,2000,,,-5.7,,,,
279,2022-01-05 5:00,-6.1,,0,0,53,2.1,-14.1,1022.1,1028.5,,,,,8,0,,,2000,,,-5.7,,,,
279,2022-01-05 6:00,-5.2,,0,0,50,2.1,-14,1022.5,1028.9,,,,,10,7,,53,2000,,,-4.7,,,,
279,2022-01-05 7:00,-5.4,,0.3,0,54,2.2,-13.2,1022.8,1029.2,,,,,10,3,,53,2000,,,-4.6,,,,
279,2022-01-05 8:00,-4.5,,0.3,0,57,2.5,-11.7,1023.2,1029.6,0,,,,10,9,,45,2000,,,-3.6,,,,
279,2022-01-05 9:00,-3.4,,0,0,48,2.3,-12.8,1023,1029.4,0,,,,10,2,,43,2000,,,-1.4,,,,
279,2022-01-05 10:00,-1.9,,0.3,0,41,2.2,-13.4,1023.5,1029.8,0,,,,8,0,,,2000,,,0.5,,,,
279,2022-01-05 11:00,0.1,,0.1,0,33,2,-14.3,1022.9,1029.2,0.7,,,,8,0,,,2000,,,4.4,,,,
279,2022-01-05 12:00,1,,0.1,0,31,2,-14.2,1021.9,1028.2,0.8,,,,8,1,,15,2000,,,5.5,,,,
279,2022-01-05 13:00,2.1,,0.6,90,29,2.1,-14.1,1021,1027.2,0.3,,,,10,3,,16,2000,,,5.7,,,,
279,2022-01-05 14:00,2.8,,0.2,0,28,2.1,-13.9,1020.1,1026.3,0,,,,10,0,,,2000,,,5.4,,,,
279,2022-01-05 15:00,3.1,,0,0,31,2.4,-12.4,1019.8,1026,0,,,,10,1,,17,2000,,,4.6,,,,
279,2022-01-05 16:00,3.4,,0,0,32,2.5,-11.7,1019.6,1025.8,0,,,,10,5,,17,2000,,,3,,,,
279,2022-01-05 17:00,3.5,,0,0,33,2.6,-11.3,1020.1,1026.3,0,,,,10,9,,16,2000,,,1.1,,,,
279,2022-01-05 18:00,3,,0.1,0,36,2.7,-10.6,1020.3,1026.5,0,,,,10,9,,13,1964,,,0.4,,,,
279,2022-01-05 19:00,2.5,,0.2,0,39,2.9,-10,1020.6,1026.8,,,,,10,9,,13,1692,,,0.3,,,,
279,2022-01-05 20:00,2.1,,0.2,0,43,3,-9.2,1020.8,1027,,,,,10,2,,16,1836,,,-0.1,,,,
279,2022-01-05 21:00,1.7,,0.1,0,44,3,-9.2,1020.8,1027,,,,,10,6,,14,1677,,,-0.5,,,,
279,2022-01-05 22:00,1.4,,0,0,48,3.2,-8.4,1020.6,1026.8,,,,,9,8,,11,1952,,,-0.1,,,,
279,2022-01-05 23:00,1.4,,0,0,49,3.3,-8.1,1020.5,1026.7,,,,,10,9,,12,1885,,,0,,,,
279,2022-01-06 0:00,1.4,,0.1,0,49,3.3,-8.1,1020,1026.2,,,,,3,3,,,1932,,,0.1,,,,
279,2022-01-06 1:00,0.2,,0.3,0,55,3.4,-7.7,1019.6,1025.9,,,,,8,2,,15,2000,,,-1.2,,,,
279,2022-01-06 2:00,-0.1,,0,0,55,3.3,-8,1019.5,1025.8,,,,,2,2,,32,2000,,,-0.8,,,,
279,2022-01-06 3:00,-0.6,,0,0,59,3.5,-7.6,1019.6,1025.9,,,,,7,7,,34,2000,,,-1.5,,,,
279,2022-01-06 4:00,-1.2,,0,0,59,3.3,-8.2,1019.4,1025.7,,,,,7,7,,33,1732,,,-2.2,,,,
279,2022-01-06 5:00,-2.3,,0,0,64,3.3,-8.1,1019.9,1026.2,,,,,0,0,,,1537,,,-3,,,,
279,2022-01-06 6:00,-2.3,,0,0,66,3.4,-7.8,1020.1,1026.4,,,,,0,0,,,1412,,,-3.5,,,,
279,2022-01-06 7:00,-1.8,,1.5,340,63,3.4,-7.9,1020.8,1027.1,,,,,0,0,,,1529,,,-3.6,,,,
279,2022-01-06 8:00,-0.6,,1,320,55,3.2,-8.5,1021.2,1027.5,0,,,,0,0,,,1544,,,-3.7,,,,
279,2022-01-06 9:00,1.3,,2.6,320,47,3.2,-8.7,1021.7,1027.9,0,,,,0,0,,,1913,,,-2.5,,,,
279,2022-01-06 10:00,3.1,,1.5,290,34,2.6,-11.2,1022.3,1028.5,0.9,,,,0,0,,,2000,,,0.4,,,,
279,2022-01-06 11:00,4.1,,3,290,23,1.9,-15.2,1022.1,1028.3,1,,,,0,0,,,2000,,,4.5,,,,
279,2022-01-06 12:00,5.4,,2.3,290,20,1.8,-15.8,1021.1,1027.2,1,,,,0,0,,,2000,,,7.1,,,,
279,2022-01-06 13:00,6.7,,2.4,290,18,1.8,-16,1020.4,1026.5,1,,,,0,0,,,2000,,,9.8,,,,
279,2022-01-06 14:00,7.1,,2.3,320,18,1.8,-15.6,1020,1026.1,1,,,,0,0,,,2000,,,11.4,,,,
279,2022-01-06 15:00,6.8,,2.1,290,18,1.8,-15.9,1020,1026.1,1,,,,0,0,,,2000,,,10.3,,,,
279,2022-01-06 16:00,6,,1.8,290,20,1.9,-15.3,1020.3,1026.4,1,,,,0,0,,,2000,,,7,,,,
279,2022-01-06 17:00,4.5,,1.2,270,24,2,-14.3,1020.9,1027.1,0.3,,,,0,0,,,2000,,,1.6,,,,
279,2022-01-06 18:00,2.9,,0.7,290,27,2,-14.3,1021.6,1027.8,0,,,,0,0,,,2000,,,-1.4,,,,
279,2022-01-06 19:00,1.8,,0.5,320,30,2.1,-13.9,1022.3,1028.5,,,,,0,0,,,2000,,,-2,,,,
279,2022-01-06 20:00,1,,2,270,34,2.2,-13.1,1022.7,1029,,,,,0,0,,,2000,,,-2.3,,,,
279,2022-01-06 21:00,-0.7,,0.1,0,39,2.3,-12.9,1023.3,1029.6,,,,,0,0,,,2000,,,-2.7,,,,
279,2022-01-06 22:00,-2,,1.2,290,47,2.5,-11.8,1023.7,1030,,,,,0,0,,,2000,,,-3.4,,,,
279,2022-01-06 23:00,-2.7,,0,0,48,2.4,-12.2,1023.9,1030.3,,,,,0,0,,,2000,,,-3.9,,,,
279,2022-01-07 0:00,-3.4,,0.2,0,55,2.6,-11.1,1024,1030.4,,,,,0,0,,,2000,,,-4.3,,,,
279,2022-01-07 1:00,-4.1,,0.1,0,58,2.6,-11.1,1024.2,1030.6,,,,,0,0,,,2000,,,-4.7,,,,
279,2022-01-07 2:00,-4.8,,0.1,0,65,2.8,-10.3,1024.4,1030.8,,,,,0,0,,,2000,,,-5.1,,,,
279,2022-01-07 3:00,-5.6,,0,0,66,2.7,-10.9,1024.8,1031.2,,,,,3,0,,,1580,,,-5.4,,,,
279,2022-01-07 4:00,-6.1,,0,0,68,2.6,-11,1024.6,1031,,,,,3,0,,,1774,,,-5.8,,,,
279,2022-01-07 5:00,-6.6,,0,0,70,2.6,-11.1,1024.8,1031.3,,,,,0,0,,,1637,,,-6.1,,,,
279,2022-01-07 6:00,-6.7,,0,0,71,2.6,-11,1024.8,1031.3,,,,,0,0,,,1250,,,-6.5,,,,
279,2022-01-07 7:00,-7.3,,0,0,76,2.7,-10.8,1025.1,1031.6,,,,,0,0,,,1121,,,-6.7,,,,
279,2022-01-07 8:00,-6.8,,0.2,0,75,2.8,-10.4,1025.4,1031.9,0,,,,0,0,,,1124,,,-6.6,,,,
279,2022-01-07 9:00,-5.2,,0,0,66,2.8,-10.5,1025.6,1032,0,,,,0,0,,,1572,,,-5.5,,,,
279,2022-01-07 10:00,-1.8,,0,0,53,2.8,-10.1,1025.5,1031.8,0.9,,,,0,0,,,1927,,,-1.3,,,,
279,2022-01-07 11:00,0.8,,0.2,0,43,2.8,-10.3,1025.1,1031.4,1,,,,0,0,,,1776,,,3.4,,,,
279,2022-01-07 12:00,2.9,,0.2,0,36,2.7,-10.7,1023.8,1030,1,,,,0,0,,,1874,,,6.6,,,,
279,2022-01-07 13:00,5,,0.2,0,28,2.4,-12,1022.7,1028.9,1,,,,0,0,,,1983,,,9.5,,,,
279,2022-01-07 14:00,6.6,,0.5,320,19,1.8,-15.4,1021.8,1027.9,1,,,,0,0,,,2000,,,10.8,,,,
279,2022-01-07 15:00,7.4,,0.4,0,17,1.7,-16.1,1021.2,1027.3,1,,,,0,0,,,2000,,,9.7,,,,
279,2022-01-07 16:00,7.1,,0.1,0,14,1.4,-18.6,1021.1,1027.2,1,,,,0,0,,,2000,,,6.6,,,,
279,2022-01-07 17:00,4.8,,0.7,290,17,1.5,-18.2,1021,1027.1,0.3,,,,0,0,,,2000,,,-0.3,,,,
279,2022-01-07 18:00,2.6,,0.1,0,20,1.5,-18.1,1021.2,1027.4,0,,,,0,0,,,2000,,,-2.3,,,,
279,2022-01-07 19:00,0.1,,0.7,270,29,1.8,-15.8,1021.6,1027.9,,,,,0,0,,,1867,,,-3.3,,,,
279,2022-01-07 20:00,-0.4,,1,270,33,2,-14.7,1022,1028.3,,,,,0,0,,,1684,,,-3.7,,,,
279,2022-01-07 21:00,-1.2,,1.7,270,35,2,-14.7,1022,1028.3,,,,,0,0,,,2000,,,-3.9,,,,
279,2022-01-07 22:00,-2.1,,0.3,0,37,1.9,-14.8,1022,1028.3,,,,,0,0,,,2000,,,-4.7,,,,
279,2022-01-07 23:00,-3,,0,0,41,2,-14.4,1021.9,1028.3,,,,,0,0,,,1924,,,-5.2,,,,
279,2022-01-08 0:00,-3.8,,0,0,44,2,-14.2,1021.7,1028.1,,,,,0,0,,,1710,,,-5.4,,,,
279,2022-01-08 1:00,-4.9,,0,0,57,2.4,-12.1,1021.3,1027.7,,,,,0,0,,,1696,,,-5.7,,,,
279,2022-01-08 2:00,-4.9,,0,0,52,2.2,-13.2,1021.2,1027.6,,,,,0,0,,,1568,,,-5.8,,,,
279,2022-01-08 3:00,-5.2,,0,0,54,2.3,-13,1021.2,1027.6,,,,,0,0,,,1645,,,-6,,,,
279,2022-01-08 4:00,-5.7,,0,0,58,2.3,-12.6,1020.7,1027.1,,,,,1,0,,,1561,,,-6.1,,,,
279,2022-01-08 5:00,-5.9,,0.4,0,61,2.4,-12.2,1020.3,1026.7,,,,,0,0,,,1515,,,-6.2,,,,
279,2022-01-08 6:00,-6.3,,0,0,63,2.4,-12.2,1020.1,1026.5,,,,,0,0,,,1196,,,-6.7,,,,
279,2022-01-08 7:00,-6.6,,0.1,0,68,2.5,-11.5,1020.1,1026.5,,,,,0,0,,,1142,,,-6.9,,,,
279,2022-01-08 8:00,-5.8,,1,70,64,2.5,-11.5,1020.2,1026.6,0,,,,1,0,,,1119,,,-6.6,,,,
279,2022-01-08 9:00,-4.3,,0.6,70,63,2.8,-10.3,1020.2,1026.6,0,,,,0,0,,,1168,,,-5.2,,,,
279,2022-01-08 10:00,-0.4,,0.2,0,49,2.9,-9.8,1020.2,1026.5,0.9,,,,0,0,,,1318,,,-0.7,,,,
279,2022-01-08 11:00,4.4,,1.5,340,25,2.1,-13.9,1019.6,1025.8,1,,,,0,0,,,2000,,,4.7,,,,
279,2022-01-08 12:00,5.9,,1.5,320,23,2.1,-13.7,1018.2,1024.3,1,,,,0,0,,,2000,,,7.9,,,,
279,2022-01-08 13:00,7.2,,1.5,340,22,2.2,-13.1,1017.1,1023.2,1,,,,0,0,,,1969,,,10.7,,,,
279,2022-01-08 14:00,7.7,,1.8,270,23,2.4,-12.1,1016.2,1022.3,1,,,,0,0,,,2000,,,11.4,,,,
279,2022-01-08 15:00,7.2,,1.3,290,28,2.8,-10.1,1016.1,1022.2,1,,,,0,0,,,2000,,,9.8,,,,
279,2022-01-08 16:00,6.6,,1.1,270,33,3.2,-8.5,1016.1,1022.2,1,,,,0,0,,,2000,,,6.3,,,,
279,2022-01-08 17:00,5.5,,0.8,320,38,3.4,-7.7,1016.3,1022.4,0.3,,,,,0,,,2000,,,1.1,,,,
279,2022-01-08 18:00,4.4,,0.6,290,43,3.6,-7.1,1016.9,1023,0,,,,,0,,,1957,,,-1.4,,,,
279,2022-01-08 19:00,1.6,,0,0,52,3.6,-7.2,1017.3,1023.5,,,,,,0,,,1746,,,-2,,,,
279,2022-01-08 20:00,1.5,,0,0,55,3.8,-6.5,1017.3,1023.5,,,,,,0,,,1445,,,-2.4,,,,
279,2022-01-08 21:00,2.7,,0.4,0,55,4.1,-5.4,1017.1,1023.3,,,,,6,6,,13,1286,,,-1.6,,,,
279,2022-01-08 22:00,2.2,,0.2,0,58,4.2,-5.2,1017,1023.2,,,,,0,0,,,1323,,,-1.6,,,,
279,2022-01-08 23:00,2.7,,0.1,0,60,4.4,-4.3,1016.9,1023.1,,,,,9,9,,14,1117,,,-0.6,,,,
279,2022-01-09 0:00,3.4,,0.1,0,58,4.5,-4,1016.4,1022.6,,,,,8,8,,13,779,,,-1.6,,,,
279,2022-01-09 1:00,1.3,,0.1,0,66,4.4,-4.3,1016.4,1022.6,,,,,6,0,,,791,,,-2.4,,,,
279,2022-01-09 2:00,0.2,,0,0,70,4.3,-4.6,1016.4,1022.6,,,,,4,2,,17,738,,,-1.7,,,,
279,2022-01-09 3:00,0.2,,0,0,74,4.6,-3.8,1016.4,1022.6,,,,,9,9,,16,533,,,-1.5,,,,
279,2022-01-09 4:00,0,,0,0,76,4.6,-3.7,1016.1,1022.3,,,,,9,8,,15,465,,,-2,,,,
279,2022-01-09 5:00,-0.2,,0,0,78,4.7,-3.5,1016,1022.2,,,,,9,4,,15,423,,,-2.3,,,,
279,2022-01-09 6:00,-0.5,,0,0,78,4.6,-3.8,1016.3,1022.6,,,,,8,5,,14,436,,,-1.9,,,,
